"V1","V2","V3","V4","V5","V6","V7","V8","V9"
697.815056890249,748.305259458721,114.996597939171,326.150796748698,474.745371681638,811.912051471882,796.071675419807,614.167331997305,888.783445395529
700.05075847108,698.97774989144,109.252086053028,320.452904643915,469.696528902314,811.643944677503,824.081602098238,620.006808120715,889.403200548778
707.194232322974,717.876844554077,108.084694463934,332.401556218694,474.587713103108,811.5266808117,830.939740962398,631.899209536591,882.381672975263
700.936892341882,849.46319499396,127.405084812125,336.58035105007,495.291916151552,815.031714910567,827.912535014543,619.208302489256,884.709420327743
705.04509943609,857.888094963237,130.753780715631,322.946429447873,497.586859613851,823.274994306343,830.299649098455,608.843135865962,919.438307631958
714.920249371851,896.099207828509,137.183014201619,331.285254953708,507.612630746103,828.469202517794,842.552037878202,598.578200527428,940.994819956909
692.287471464717,956.992013238889,148.778837316835,325.994414501314,512.687598844576,822.989665839127,850.921825104038,598.441642209476,914.681946158678
691.128819433908,988.653514563101,159.448396203508,339.239264797567,523.58393795401,850.453454342784,852.692824134781,589.641598532544,919.736322186336
697.568137252421,966.29293100568,166.937567467566,345.477840785926,521.603585531724,832.359682464963,829.872641404539,577.880434267863,906.553529349162
697.471196948023,967.531517217007,163.41603407371,340.330195830047,518.078167307649,833.424136313978,837.612670690707,578.45737338205,878.611487296129
698.973194584073,1118.90180183111,164.231718142549,352.135429934687,528.351540432611,828.948750886003,810.794396059037,568.35629192349,891.970925813222
699.006848419102,1038.86177108268,155.161689608236,358.462538626554,525.243565041696,839.34192223048,808.379298145362,589.957877544937,904.565630950122
702.675053064426,1086.9862380319,158.251450018279,377.182142896473,535.889225655531,822.575969354428,830.758976887276,608.069352194574,904.591135233297
697.209485526419,1103.30235565227,151.43559671034,390.005527319104,536.533872238459,830.443575544777,821.409213962247,625.302021877946,890.853305585515
721.056595171937,1129.47749613053,144.500419756616,377.519635806407,534.399960489868,839.888332953719,805.552741184098,619.469112637376,895.596303222711
711.419960345127,1150.48124412336,153.801955998601,364.635635599329,536.543028354055,832.176089761586,811.735159647764,614.010484934794,901.800713639246
710.153390381045,1067.05480086492,157.365929714982,354.580784118257,533.105255620347,831.467496390351,822.256130581319,611.115679510577,919.876578409786
708.986170503599,1025.50705462813,153.887871698554,353.415927556547,529.278152527662,815.765223732441,830.554195967756,623.244628453946,917.560516866661
723.266592455413,1125.28331367248,156.056719266591,346.794255101939,536.449769195208,837.180446011735,809.873573041544,621.087031006368,915.463289409111
700.321440411991,1166.18305258999,162.183750572711,356.527155744785,540.478198934226,836.597961674654,830.818073184958,605.020158075861,905.237509575672
727.582666756048,1209.37615222619,159.959444089956,346.214152955686,548.864692770594,875.323878931567,832.643913727637,607.743976255246,939.474732135711
729.300206248647,1262.70955564941,154.636705852148,349.801174831437,547.348489605024,870.365325228285,827.710560234126,613.977969074622,897.843763880427
723.745711125243,1300.46278229942,153.81881581343,353.89678587252,547.343985936048,889.423783752082,806.163200673809,598.527552085913,898.32173112766
728.023125869925,1277.85102154531,148.67283815534,354.504383400692,547.539006623611,899.764365426503,825.087474674425,610.875695528954,889.638728018933
721.267151897478,1281.89187065455,146.63884970001,340.779707683009,541.149427666268,923.05699318179,798.907528068171,614.156485263526,859.06049250313
735.95782136942,1290.63862517872,145.867773037079,334.81930055537,540.692464750276,918.102496115059,806.758977446137,613.837576597089,846.05537789379
723.183026627527,1319.3553243105,142.422530721359,337.987390030644,535.365771818682,906.578827387543,778.942684484394,616.738774474639,823.005748651857
730.636762116001,1392.88480353102,140.677473877795,358.787309203978,541.247823571637,894.052797085036,775.573478004847,618.614537215974,812.85850909326
734.929957270002,1427.16134431081,141.025185909513,353.332622803906,539.996545378722,888.37732327171,759.213028934197,614.214843379923,811.482569429225
767.390252578698,1343.27313584155,142.257465926711,323.225210069108,533.661424859637,909.97192222101,747.738795613069,618.247389337371,796.445401462419
751.967838609721,1441.00153699957,154.828613816293,314.064554815243,538.371122869866,893.763743043457,756.32995941757,608.061426225996,781.086352157218
